"","zip","primary_city","county","area_codes","latitude","longitude","irs_estimated_population_2014","total_population"
"1",37501,"Memphis","Shelby County",901,35.1,-90,0,874585
"2",37544,"Memphis","Shelby County",901,35.15,-90.05,0,874585
"3",38002,"Arlington","Shelby County",901,35.28,-89.66,39380,874585
"4",38014,"Brunswick","Shelby County",901,35.28,-89.72,173,874585
"5",38016,"Cordova","Shelby County",901,35.18,-89.76,42200,874585
"6",38017,"Collierville","Shelby County",901,35.05,-89.67,49960,874585
"7",38018,"Cordova","Shelby County",901,35.15,-89.75,33590,874585
"8",38027,"Collierville","Shelby County",901,35.05,-89.67,694,874585
"9",38029,"Ellendale","Shelby County",901,35.24,-89.82,445,874585
"10",38053,"Millington","Shelby County",901,35.33,-89.88,24750,874585
"11",38054,"Millington","Shelby County",901,35.34,-89.87,200,874585
"12",38055,"Millington","Shelby County",901,35.33,-89.88,0,874585
"13",38083,"Millington","Shelby County",901,35.33,-89.88,628,874585
"14",38088,"Cordova","Shelby County",901,35.15,-89.75,1002,874585
"15",38101,"Memphis","Shelby County",901,35.1,-90,847,874585
"16",38103,"Memphis","Shelby County",901,35.15,-90.05,8450,874585
"17",38104,"Memphis","Shelby County",901,35.13,-90,16920,874585
"18",38105,"Memphis","Shelby County",901,35.15,-90.03,4690,874585
"19",38106,"Memphis","Shelby County",901,35.1,-90.09,21560,874585
"20",38107,"Memphis","Shelby County",901,35.17,-90.02,13950,874585
"21",38108,"Memphis","Shelby County",901,35.18,-89.97,16480,874585
"22",38109,"Memphis","Shelby County",901,35.04,-90.16,41370,874585
"23",38110,"Memphis","Shelby County",901,35.05,-89.94,0,874585
"24",38111,"Memphis","Shelby County",901,35.11,-89.94,36430,874585
"25",38112,"Memphis","Shelby County",901,35.15,-89.98,13730,874585
"26",38113,"Memphis","Shelby County",901,35.1,-90,103,874585
"27",38114,"Memphis","Shelby County",901,35.1,-90,22760,874585
"28",38115,"Memphis","Shelby County",901,35.05,-89.86,40890,874585
"29",38116,"Memphis","Shelby County",901,35.03,-90.01,37200,874585
"30",38117,"Memphis","Shelby County",901,35.12,-89.91,25120,874585
"31",38118,"Memphis","Shelby County",901,35.03,-89.93,43750,874585
"32",38119,"Memphis","Shelby County",901,35.08,-89.85,20770,874585
"33",38120,"Memphis","Shelby County",901,35.12,-89.85,13360,874585
"34",38122,"Memphis","Shelby County",901,35.16,-89.92,23930,874585
"35",38124,"Memphis","Shelby County",901,35.1,-90,254,874585
"36",38125,"Memphis","Shelby County",901,35.03,-89.79,39210,874585
"37",38126,"Memphis","Shelby County",901,35.13,-90.04,4850,874585
"38",38127,"Memphis","Shelby County",901,35.24,-90.02,37470,874585
"39",38128,"Memphis","Shelby County",901,35.22,-89.93,38840,874585
"40",38130,"Memphis","Shelby County",901,35.1,-90,681,874585
"41",38131,"Memphis","Shelby County",901,35.07,-89.99,0,874585
"42",38132,"Memphis","Shelby County",901,35.07,-89.99,67,874585
"43",38133,"Memphis","Shelby County",901,35.21,-89.79,21230,874585
